Date,Match,Result,Goals Scored,Competition,Year 
11-Aug-10,Republic of Ireland ,W,1,International Friendly,2010
7-Sep-10,Spain,W,4,International Friendly,2010
8-Oct-10,Japan ,L,0,International Friendly,2010
17-Nov-10,Brazil,W,1,International Friendly,2010
9-Feb-11,Portugal,W,2,International Friendly,2010
16-Mar-11,Venezuela,W,2,International Friendly,2010
26-Mar-11,USA,D,1,International Friendly,2010
29-Mar-11,Costa Rica ,D,0,International Friendly,2010
21-Apr-11,Ecuador,D,2,International Friendly,2010
25-May-11,Paraguay,W,4,International Friendly,2010
1-Jun-11,Nigeria,L,1,International Friendly,2010
5-Jun-11,Poland ,L,1,International Friendly,2010
20-Jun-11,Albania,W,4,International Friendly,2010
1-Jul-11,Bolivia,D,1,Copa America,2010
6-Jul-11,Colombia,D,0,Copa America,2010
11-Jul-11,Costa Rica,W,3,Copa America,2010
16-Jul-11,Uruguay,L,1,Copa America,2010
2-Sep-11,Venezuela ,W,1,International Friendly,2011
6-Sep-11,Nigeria,W,3,International Friendly,2011
14-Sep-11,Brazil,D,0,Superclasico de las Americas,2011
28-Sep-11,Brazil ,L,0,Superclasico de las Americas,2011
7-Oct-11,Chile,W,4,FIFA World Cup,2011
11-Oct-11,Venezuela ,L,0,FIFA World Cup,2011
11-Nov-11,Bolivia,D,1,FIFA World Cup,2011
15-Nov-11,Colombia ,W,2,FIFA World Cup,2011
29-Feb-12,Switzerland ,W,3,International Friendly,2011
2-Jun-12,Ecuador,W,4,FIFA World Cup,2011
9-Jun-12,Brazil,W,4,International Friendly,2011
15-Aug-12,Germany ,W,1,International Friendly,2012
7-Sep-12,Paraguay,W,3,FIFA World Cup,2012
11-Sep-12,Peru ,D,1,FIFA World Cup,2012
20-Sep-12,Brazil ,L,1,Superclasico de las Americas,2012
12-Oct-12,Uruguay,W,3,FIFA World Cup,2012
16-Oct-12,Chile,W,2,FIFA World Cup,2012
14-Nov-12,Saudi Arabia ,D,0,International Friendly,2012
21-Nov-12,Brazil,W,2,Superclasico de las Americas,2012
6-Feb-13,Sweden,W,3,International Friendly,2012
22-Mar-13,Venezuela,W,3,FIFA World Cup,2012
26-Mar-13,Bolivia ,D,1,FIFA World Cup,2012
7-Jun-13,Colombia,D,0,FIFA World Cup,2012
11-Jun-13,Ecuador ,D,1,FIFA World Cup,2012
14-Jun-13,Guatemala ,W,4,International Friendly,2012
14-Aug-13,Italy ,W,2,International Friendly,2013
10-Sep-13,Paraguay ,W,5,FIFA World Cup,2013
11-Oct-13,Peru,W,3,FIFA World Cup,2013
15-Oct-13,Uruguay ,L,2,FIFA World Cup,2013
15-Nov-13,Ecuador ,D,0,International Friendly,2013
18-Nov-13,Bosnia and Herzegovina,W,2,International Friendly,2013
5-Mar-14,Romania ,D,0,International Friendly,2013
4-Jun-14,Trinidad and Tobago,W,3,International Friendly,2013
7-Jun-14,Slovenia,W,2,International Friendly,2013
15-Jun-14,Bosnia and Herzegovina,W,2,FIFA World Cup,2013
21-Jun-14,Iran,W,1,FIFA World Cup,2013
25-Jun-14,Nigeria ,W,3,FIFA World Cup,2013
1-Jul-14,Switzerland,W,1,FIFA World Cup,2013
5-Jul-14,Belgium,W,1,FIFA World Cup,2013
9-Jul-14,Netherlands,W,0,FIFA World Cup,2013
13-Jul-14,Germany ,L,0,FIFA World Cup,2013
3-Sep-14,Germany ,W,4,International Friendly,2014
11-Oct-14,Brazil ,L,0,Superclasico de las Americas,2014
14-Oct-14,Hong Kong ,W,7,International Friendly,2014
12-Nov-14,Croatia,W,2,International Friendly,2014
18-Nov-14,Portugal ,L,0,International Friendly,2014
28-Mar-15,El Salvador ,W,2,International Friendly,2014
31-Mar-15,Ecuador,W,2,International Friendly,2014
6-Jun-15,Bolivia,W,5,International Friendly,2014
13-Jun-15,Paraguay,D,2,Copa America,2014
16-Jun-15,Uruguay,W,1,Copa America,2014
20-Jun-15,Jamaica,W,1,Copa America,2014
26-Jun-15,Colombia,W,0,Copa America,2014
30-Jun-15,Paraguay,W,6,Copa America,2014
4-Jul-15,Chile ,L,0,Copa America,2014
4-Sep-15,Bolivia,W,7,International Friendly,2015
8-Sep-15,Mexico,D,2,International Friendly,2015
8-Oct-15,Ecuador,L,0,FIFA World Cup,2015
13-Oct-15,Paraguay ,D,0,FIFA World Cup,2015
13-Nov-15,Brazil,D,1,FIFA World Cup,2015
17-Nov-15,Colombia ,W,1,FIFA World Cup,2015
24-Mar-16,Chile ,W,2,FIFA World Cup,2015
29-Mar-16,Bolivia,W,2,FIFA World Cup,2015
27-May-16,Honduras,W,1,International Friendly,2015
6-Jun-16,Chile,W,2,Copa America,2015
10-Jun-16,Panama,W,2,Copa America,2015
14-Jun-16,Bolivia ,W,1,Copa America,2015
18-Jun-16,Venezuela ,W,2,Copa America,2015
21-Jun-16,USA ,W,5,Copa America,2015
26-Jun-16,Chile,L,0,Copa America,2015
2-Sep-16,Uruguay,W,1,FIFA World Cup,2016
6-Sep-16,Venezuela ,D,2,FIFA World Cup,2016
7-Oct-16,Peru ,D,2,FIFA World Cup,2016
11-Oct-16,Paraguay,L,0,FIFA World Cup,2016
10-Nov-16,Brazil ,L,0,FIFA World Cup,2016
15-Nov-16,Colombia,W,3,FIFA World Cup,2016
24-Mar-17,Chile,W,1,FIFA World Cup,2016
28-Mar-17,Bolivia ,L,0,FIFA World Cup,2016
9-Jun-17,Brazil ,W,1,Superclasico de las Americas,2016
13-Jun-17,Singapore ,W,3,International Friendly,2016
31-Aug-17,Uruguay ,D,0,FIFA World Cup,2017
5-Sep-17,Venezuela,D,1,FIFA World Cup,2017
5-Oct-17,Peru,D,0,FIFA World Cup,2017
10-Oct-17,Ecuador ,W,3,FIFA World Cup,2017
11-Nov-17,Russia ,W,1,International Friendly,2017
14-Nov-17,Nigeria,L,2,International Friendly,2017
23-Mar-18,Italy ,W,2,International Friendly,2017
27-Mar-18,Spain ,L,1,International Friendly,2017
30-May-18,Haiti,W,4,International Friendly,2017
16-Jun-18,Iceland,D,1,FIFA World Cup,2017
21-Jun-18,Croatia,L,0,FIFA World Cup,2017
26-Jun-18,Nigeria ,W,2,FIFA World Cup,2017
30-Jun-18,France,L,3,FIFA World Cup,2017
7-Sep-18,Guatemala,W,3,International Friendly,2018
11-Sep-18,Colombia ,D,0,International Friendly,2018
11-Oct-18,Iraq,W,4,International Friendly,2018
16-Oct-18,Brazil,L,0,Superclasico de las Americas,2018
16-Nov-18,Mexico,W,2,International Friendly,2018
20-Nov-18,Mexico,W,2,International Friendly,2018
22-Mar-19,Venezuela,L,1,International Friendly,2018
26-Mar-19,Morocco ,W,5,International Friendly,2018
7-Jun-19,Nicaragua,W,0,International Friendly,2018
15-Jun-19,Colombia,L,1,Copa America,2018
19-Jun-19,Paraguay,D,2,Copa America,2018
23-Jun-19,Qatar ,W,2,Copa America,2018
28-Jun-19,Venezuela ,W,0,Copa America,2018
2-Jul-19,Brazil ,L,2,Copa America,2018
6-Jul-19,Chile,W,2,Copa America,2018
5-Sep-19,Chile,D,0,International Friendly,2019
10-Sep-19,Mexico,W,4,International Friendly,2019
9-Oct-19,Germany ,D,2,International Friendly,2019
13-Oct-19,Ecuador ,W,6,International Friendly,2019
15-Nov-19,Brazil ,W,1,Superclasico de las Americas,2019
18-Nov-19,Uruguay,D,2,International Friendly,2019
26-Mar-20,Ecuador,,,FIFA World Cup,2019
31-Mar-20,Bolivia ,,,FIFA World Cup,2019
12-Jun-20,Chile,,,Copa America,2019
16-Jun-20,Uruguay,,,Copa America,2019
20-Jun-20,Paraguay,,,Copa America,2019
26-Jun-20,Australia ,,,Copa America,2019
30-Jun-20,Bolivia ,,,Copa America,2019
8-Oct-20,Ecuador,W,1,FIFA World Cup,2020
13-Oct-20,Bolivia ,W,2,FIFA World Cup,2020
